Rank,CCA3,Country/Territory,Capital,Continent,2022 Population,,2020 Population,2020VS1970,2020VS2010,2020VS2015,2015 Population,2015vs2010,2010 Population,2010vs2000,2000 Population,2000vs1990,1990 Population,1990vs1980,1980 Population,1980vs1970,1970 Population,Area (km²),Density (per km²),Growth Rate,World Population Percentage
56,PRK,North Korea,Pyongyang,Asia,26069416,1.032124496,25867467,1.724856685,1.047841335,1.024129054,25258015,1.023153606,24686435,1.056463075,23367059,1.123442062,20799523,1.157223102,17973650,1.1984927,14996879,120538,216.2755,1.0038,0.33
150,MKD,North Macedonia,Skopje,Europe,2093599,0.99318631,2111072,1.274199458,1.008235633,1.001475359,2107962,1.006750316,2093828,1.027425788,2037936,0.996948401,2044174,1.071918902,1907023,1.151039696,1656783,25713,81.4218,0.9954,0.03
210,NFK,Northern Mariana Islands,Saipan,Oceania,49551,0.961893854,49587,4.888790299,0.91680071,0.962592693,51514,0.952428495,54087,0.673243048,80338,1.673638598,48002,2.725373304,17613,1.7364685,10143,464,106.7909,1.0014,0
120,NOR,Norway,Oslo,Europe,5434319,1.047003134,5379839,1.388149954,1.100229849,1.036506744,5190356,1.061478716,4889741,1.088737714,4491202,1.058837203,4241636,1.038146976,4085776,1.05424526,3875546,323802,16.7828,1.0058,0.07
127,OMN,Oman,Muscat,Asia,4576298,1.091732478,4543399,6.774185805,1.576521367,1.083884015,4191776,1.454511134,2881914,1.229352804,2344253,1.299097712,1804524,1.773554197,1017462,1.517030892,670693,309500,14.7861,1.0123,0.06
5,PAK,Pakistan,Islamabad,Asia,235824862,1.117816025,227196741,3.831900819,1.168379972,1.076918505,210969298,1.084928866,194454498,1.259665698,154369924,1.33753125,115414069,1.431509072,80624057,1.359805553,59290872,881912,267.4018,1.0191,2.96
222,PLW,Palau,Ngerulmud,Oceania,18055,1.014667866,17972,1.581207109,0.969363538,1.010003372,17794,0.959762675,18540,0.939876305,19726,1.289871183,15293,1.248204375,12252,1.077951786,11366,459,39.3355,1.0017,0
122,PSE,Palestine,Ramallah,Asia,5250072,1.17068537,5019401,4.488657633,1.257277424,1.119249282,4484614,1.123322073,3992278,1.271444741,3139954,1.477897345,2124609,1.46159863,1453620,1.299916565,1118241,6220,844.063,1.0227,0.07
128,PAN,Panama,Panama City,America,4408581,1.114094189,4294396,2.832363797,1.185113107,1.085238454,3957099,1.092030146,3623617,1.207175793,3001731,1.225212329,2449968,1.251908163,1956987,1.290728458,1516188,75417,58.4561,1.0132,0.06
93,PNG,Papua New Guinea,Port Moresby,Oceania,10142619,1.168211902,9749640,3.916998352,1.28567772,1.12294916,8682174,1.144911779,7583269,1.376699368,5508297,1.425184193,3864972,1.244842482,3104788,1.247374208,2489059,462840,21.9139,1.0194,0.13
109,PRY,Paraguay,Asunción,America,6780744,1.097571848,6618695,2.747729459,1.147363326,1.071341626,6177950,1.070959345,5768613,1.125842462,5123819,1.262274663,4059195,1.31838617,3078912,1.27820019,2408787,406752,16.6705,1.0115,0.09
44,PER,Peru,Lima,America,34049588,1.108678689,33304756,2.455673569,1.1394199,1.084426432,30711863,1.050712032,29229572,1.096611788,26654439,1.205586849,22109099,1.263925557,17492406,1.289774922,13562371,1285216,26.4933,1.0099,0.43
13,PHL,Philippines,Manila,Asia,115559009,1.121590586,112190977,2.996907194,1.185491221,1.0889012,103031365,1.088704118,94636700,1.213941216,77958223,1.266400562,61558898,1.271364626,48419546,1.293409592,37435586,342353,337.5434,1.0147,1.45
